CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
PopSockets,2026-03-15,0,0,10,10,0,10,0,0,1,1,0,1,10,1,68,5,-85%,-80%,53,7,481,55,-89%,-87%,"2,170",167,2,"9,335%",0,0,2,-100%,46,236,0,
Better Being,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,57,-100%,-100%,229,6,"28,265","1,383",-99%,-100%,1,0,3,-98%,0,0,3,-100%,129,"1,004","2,174",
Healthforce Superfoods,2026-03-15,0,0,40,0,0,0,0,0,1,0,0,0,0,0,"64,298","1,356",-100%,-100%,257,6,"779,866","16,349",-100%,-100%,51,4,"1,311",-100%,0,0,"1,311",-100%,317,"8,965",81,
Clenzoil,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"77,764","4,371",-100%,-100%,60,4,"655,787","36,754",-100%,-100%,52,4,"3,178",-100%,0,0,"3,178",-100%,377,"3,659",95,
Maxi-Cosi,2026-03-15,0,20,0,10,0,0,0,2,0,1,0,0,0,0,0,0,,,310,4,"15,601",49,-98%,-92%,0,0,1,-100%,0,0,1,-100%,6,502,,
GAT Sport,2026-03-15,0,0,0,0,0,65,0,0,0,0,0,3,65,3,0,0,,,65,3,0,0,,,14,1,,,0,0,,,"8,722","134,278","7,874",
Havaianas,2026-03-15,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,,,30,3,25,1,20%,200%,515,40,0,"51,380%",0,0,0,-100%,2,14,0,
F2C.Global,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21,2,238,7,-91%,-71%,0,0,0,-100%,0,0,0,-100%,8,28,,
Optimox,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,78,2,0,0,,,1,0,,,0,0,,,2,44,34,
4Life,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,87,1,0,0,,,0,0,,,0,0,,,0,0,,
