CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
Spicy Life,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Spicy Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,68,5,,,0,0,,,0,0,0,
Stipulations,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Stop Aging Now,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Sunwarrior,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,0,0,0,
Super Coffee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,9,1,,,0,0,,,0,0,0,
Synergy Science,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Synergy Worldwide,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
THE NORTH FACE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
TaylorMade,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,7,1,,,0,0,,,0,0,0,
Thankyou,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,15,1,,,0,0,,,0,0,0,
The Happy Co.,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
The Jewelry Group - Anne Klein,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,2,14,,
The Jewelry Group - Chaps,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
The Jewelry Group - DKNY,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,1,10,,
The Jewelry Group - Lonna & Lilly,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
The Jewelry Group - Napier,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,2,9,,
The Jewelry Group - Nine West,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,3,19,,
The Jewelry Group - Pet Friends,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
ThriveOn,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,980,"33,722","99,089",
Thymes Bath & Body,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,-87%,0,0,0,-100%,649,"11,248","65,621",
Thymes Wellness,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
ToiletTree Products,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,66,2,-100%,-100%,5,0,,,0,0,,,38,416,91,
Tommie Copper,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Trace Herbals,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Transparent Labs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,5,0,,,0,0,,,0,0,0,
Tria,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,"2,520",14,-100%,-100%,15,1,0,"1,397%",0,0,0,-100%,1,249,1,
Trophy Skin,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,195,6,-100%,-100%,22,2,0,"2,073%",0,0,0,-100%,18,437,11,
Tru Fru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Truvani,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,17,1,,,0,0,,,0,0,0,
UMZU,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,12,-100%,-100%,0,0,"4,327",118,-100%,-100%,0,0,10,-100%,0,0,10,-100%,1,32,,
Ultimate Ears,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Ultradent,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,-100%,-100%,0,0,108,2,-100%,-100%,0,0,1,-100%,0,0,1,-100%,109,"2,178",,
Uqora Inc.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Val Cucine,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Vetnique Labs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,17,1,,,0,0,,,0,0,0,
Vision HealthCare,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
VitaScience,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Volcom - The Levy Group,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,135,10,,,0,0,,,"6,139","124,979",589,
X Rocker,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,"12,216",88,-100%,-100%,33,3,0,"3,216%",0,0,0,-100%,1,42,0,
YouTheory,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Young Living,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,3,27,,
"Zebra Technologies, LLC",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Zenwise,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,0,
Zimba,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Zinus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Zoomget,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,28,2,,,0,0,,,0,0,0,
Zoyava,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,90,-100%,0,0,90,-100%,6,137,,
Zurvita,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
butterblu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,1,0,,
de Buyer,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
doTERRA,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,2,34,,
iApparel,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,200",12,-100%,-100%,0,0,"16,289",43,-100%,-100%,0,0,4,-100%,0,0,4,-100%,3,325,,
weBoost,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,070",2,-100%,-100%,0,0,"5,173",8,-100%,-100%,4,0,0,115%,0,0,0,-100%,0,0,0,
zz_Unidentified_25.07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
zz_Unidentified_25.08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
zz_Unidentified_25.09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
zz_Unidentified_25.10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
zz_Unidentified_25.11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
zz_Unidentified_25.12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
